Name: CCTV-1香港版, URL: https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream04/streamPlaylist.m3u8?$订阅源, IPv_Type: ipv4, Date: None, Delay: 1720 ms, Speed: 2.12 M/s, Resolution: 1280x720
Name: CCTV-1_综合, URL: http://221.226.4.10:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, IPv_Type: ipv4, Date: None, Delay: 7554 ms, Speed: 0.83 M/s, Resolution: 1920x1080
Name: CCTV-1_综合, URL: http://120.76.248.139/live/bfgd/4200000484.m3u8$订阅源, IPv_Type: ipv4, Date: None, Delay: 6618 ms, Speed: 0.89 M/s, Resolution: 1920x1080
Name: CCTV-1_综合, URL: http://iptv.huuc.edu.cn/hls/cctv1hd.m3u8$订阅源, IPv_Type: ipv6, Date: None, Delay: 0 ms, Speed: inf M/s, Resolution: 1920x1080
Name: CCTV-2_财经, URL: http://221.226.4.10:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, IPv_Type: ipv4, Date: None, Delay: 7554 ms, Speed: 0.83 M/s, Resolution: 1920x1080
Name: CCTV-2_财经, URL: http://120.76.248.139/live/bfgd/4200000061.m3u8$订阅源, IPv_Type: ipv4, Date: None, Delay: 6618 ms, Speed: 0.89 M/s, Resolution: 1920x1080
Name: CCTV-2_财经, URL: http://iptv.huuc.edu.cn/hls/cctv2hd.m3u8$订阅源, IPv_Type: ipv6, Date: None, Delay: 0 ms, Speed: inf M/s, Resolution: 1920x1080
Name: CCTV-3_综艺, URL: http://120.76.248.139/live/bfgd/4200000062.m3u8$订阅源, IPv_Type: ipv4, Date: None, Delay: 6618 ms, Speed: 0.89 M/s, Resolution: 1920x1080
Name: CCTV-3_综艺, URL: http://iptv.huuc.edu.cn/hls/cctv3hd.m3u8$订阅源, IPv_Type: ipv6, Date: None, Delay: 0 ms, Speed: inf M/s, Resolution: 1920x1080
Name: CCTV-4_中文国际, URL: http://221.226.4.10:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, IPv_Type: ipv4, Date: None, Delay: 7554 ms, Speed: 0.83 M/s, Resolution: 1920x1080
Name: CCTV-4_中文国际, URL: http://120.76.248.139/live/bfgd/4200000063.m3u8$订阅源, IPv_Type: ipv4, Date: None, Delay: 6618 ms, Speed: 0.89 M/s, Resolution: 1920x1080
Name: CCTV-4_中文国际, URL: http://php.jdshipin.com/TVOD/hljyd.php?id=3221226428$订阅源, IPv_Type: ipv6, Date: None, Delay: 0 ms, Speed: inf M/s, Resolution: 1920x1080
Name: CCTV-4_中文国际, URL: http://iptv.huuc.edu.cn/hls/cctv4hd.m3u8$订阅源, IPv_Type: ipv6, Date: None, Delay: 0 ms, Speed: inf M/s, Resolution: 1920x1080
Name: CCTV-5_体育, URL: http://120.76.248.139/live/bfgd/4200000064.m3u8$订阅源, IPv_Type: ipv4, Date: None, Delay: 6618 ms, Speed: 0.89 M/s, Resolution: 1920x1080
Name: CCTV-5_体育, URL: http://iptv.huuc.edu.cn/hls/cctv5hd.m3u8$订阅源, IPv_Type: ipv6, Date: None, Delay: 0 ms, Speed: inf M/s, Resolution: 1920x1080
Name: CCTV-5+_体育赛事, URL: http://221.226.4.10:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, IPv_Type: ipv4, Date: None, Delay: 7554 ms, Speed: 0.83 M/s, Resolution: 1920x1080
Name: CCTV-5+_体育赛事, URL: http://120.76.248.139/live/bfgd/4200000246.m3u8$订阅源, IPv_Type: ipv4, Date: None, Delay: 6618 ms, Speed: 0.89 M/s, Resolution: 1920x1080
Name: CCTV-6_电影, URL: http://120.76.248.139/live/bfgd/4200000065.m3u8$订阅源, IPv_Type: ipv4, Date: None, Delay: 6618 ms, Speed: 0.89 M/s, Resolution: 1920x1080
Name: CCTV-6_电影, URL: http://iptv.huuc.edu.cn/hls/cctv6hd.m3u8$订阅源, IPv_Type: ipv6, Date: None, Delay: 0 ms, Speed: inf M/s, Resolution: 1920x1080
Name: CCTV-7_国防军事, URL: http://221.226.4.10:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, IPv_Type: ipv4, Date: None, Delay: 7554 ms, Speed: 0.83 M/s, Resolution: 1920x1080
Name: CCTV-7_国防军事, URL: http://120.76.248.139/live/bfgd/4200000127.m3u8$订阅源, IPv_Type: ipv4, Date: None, Delay: 6618 ms, Speed: 0.89 M/s, Resolution: 1920x1080
Name: CCTV-7_国防军事, URL: http://iptv.huuc.edu.cn/hls/cctv7hd.m3u8$订阅源, IPv_Type: ipv6, Date: None, Delay: 0 ms, Speed: inf M/s, Resolution: 1920x1080
Name: CCTV-8_电视剧, URL: http://221.226.4.10:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, IPv_Type: ipv4, Date: None, Delay: 7554 ms, Speed: 0.83 M/s, Resolution: 1920x1080
Name: CCTV-8_电视剧, URL: http://120.76.248.139/live/bfgd/4200000066.m3u8$订阅源, IPv_Type: ipv4, Date: None, Delay: 6618 ms, Speed: 0.89 M/s, Resolution: 1920x1080
Name: CCTV-8_电视剧, URL: http://iptv.huuc.edu.cn/hls/cctv8hd.m3u8$订阅源, IPv_Type: ipv6, Date: None, Delay: 0 ms, Speed: inf M/s, Resolution: 1920x1080
Name: CCTV-9_纪录, URL: http://221.226.4.10:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, IPv_Type: ipv4, Date: None, Delay: 7554 ms, Speed: 0.83 M/s, Resolution: 1920x1080
Name: CCTV-9_纪录, URL: http://120.76.248.139/live/bfgd/4200000128.m3u8$订阅源, IPv_Type: ipv4, Date: None, Delay: 6618 ms, Speed: 0.89 M/s, Resolution: 1920x1080
Name: CCTV-9_纪录, URL: http://iptv.huuc.edu.cn/hls/cctv9hd.m3u8$订阅源, IPv_Type: ipv6, Date: None, Delay: 0 ms, Speed: inf M/s, Resolution: 1920x1080
Name: CCTV-10_科教, URL: http://221.226.4.10:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, IPv_Type: ipv4, Date: None, Delay: 7554 ms, Speed: 0.83 M/s, Resolution: 1920x1080
Name: CCTV-10_科教, URL: http://120.76.248.139/live/bfgd/4200000129.m3u8$订阅源, IPv_Type: ipv4, Date: None, Delay: 6618 ms, Speed: 0.89 M/s, Resolution: 1920x1080
Name: CCTV-10_科教, URL: http://iptv.huuc.edu.cn/hls/cctv10hd.m3u8$订阅源, IPv_Type: ipv6, Date: None, Delay: 0 ms, Speed: inf M/s, Resolution: 1920x1080
Name: CCTV-11_戏曲, URL: http://120.76.248.139/live/bfgd/4200000130.m3u8$订阅源, IPv_Type: ipv4, Date: None, Delay: 6618 ms, Speed: 0.89 M/s, Resolution: 1920x1080
Name: CCTV-11_戏曲, URL: http://iptv.huuc.edu.cn/hls/cctv11hd.m3u8$订阅源, IPv_Type: ipv6, Date: None, Delay: 0 ms, Speed: inf M/s, Resolution: 1920x1080
Name: CCTV-12_社会与法, URL: http://221.226.4.10:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, IPv_Type: ipv4, Date: None, Delay: 7554 ms, Speed: 0.83 M/s, Resolution: 1920x1080
Name: CCTV-12_社会与法, URL: http://120.76.248.139/live/bfgd/4200000131.m3u8$订阅源, IPv_Type: ipv4, Date: None, Delay: 6618 ms, Speed: 0.89 M/s, Resolution: 1920x1080
Name: CCTV-12_社会与法, URL: http://iptv.huuc.edu.cn/hls/cctv12hd.m3u8$订阅源, IPv_Type: ipv6, Date: None, Delay: 0 ms, Speed: inf M/s, Resolution: 1920x1080
Name: CCTV-13_新闻, URL: http://120.76.248.139/live/bfgd/4200000067.m3u8$订阅源, IPv_Type: ipv4, Date: None, Delay: 6618 ms, Speed: 0.89 M/s, Resolution: 1920x1080
Name: CCTV-13_新闻, URL: http://iptv.huuc.edu.cn/hls/cctv13hd.m3u8$订阅源, IPv_Type: ipv6, Date: None, Delay: 0 ms, Speed: inf M/s, Resolution: 1920x1080
Name: CCTV-14_少儿, URL: http://221.226.4.10:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, IPv_Type: ipv4, Date: None, Delay: 7554 ms, Speed: 0.83 M/s, Resolution: 1920x1080
Name: CCTV-14_少儿, URL: http://120.76.248.139/live/bfgd/4200000132.m3u8$订阅源, IPv_Type: ipv4, Date: None, Delay: 6618 ms, Speed: 0.89 M/s, Resolution: 1920x1080
Name: CCTV-14_少儿, URL: http://iptv.huuc.edu.cn/hls/cctv14hd.m3u8$订阅源, IPv_Type: ipv6, Date: None, Delay: 0 ms, Speed: inf M/s, Resolution: 1920x1080
Name: CCTV-15_音乐, URL: http://120.76.248.139/live/bfgd/4200000133.m3u8$订阅源, IPv_Type: ipv4, Date: None, Delay: 6618 ms, Speed: 0.89 M/s, Resolution: 1920x1080
Name: CCTV-17_农业农村, URL: http://120.76.248.139/live/bfgd/4200000204.m3u8$订阅源, IPv_Type: ipv4, Date: None, Delay: 6618 ms, Speed: 0.89 M/s, Resolution: 1920x1080
Name: CCTV-1HD, URL: http://221.226.4.10:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, IPv_Type: ipv4, Date: None, Delay: 7554 ms, Speed: 0.83 M/s, Resolution: 1920x1080
Name: CCTV-1HD, URL: http://120.76.248.139/live/bfgd/4200000484.m3u8$订阅源, IPv_Type: ipv4, Date: None, Delay: 6618 ms, Speed: 0.89 M/s, Resolution: 1920x1080
Name: CCTV-1HD, URL: http://iptv.huuc.edu.cn/hls/cctv1hd.m3u8$订阅源, IPv_Type: ipv6, Date: None, Delay: 0 ms, Speed: inf M/s, Resolution: 1920x1080
Name: CCTV-2HD, URL: http://221.226.4.10:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, IPv_Type: ipv4, Date: None, Delay: 7554 ms, Speed: 0.83 M/s, Resolution: 1920x1080
Name: CCTV-2HD, URL: http://120.76.248.139/live/bfgd/4200000061.m3u8$订阅源, IPv_Type: ipv4, Date: None, Delay: 6618 ms, Speed: 0.89 M/s, Resolution: 1920x1080
Name: CCTV-2HD, URL: http://iptv.huuc.edu.cn/hls/cctv2hd.m3u8$订阅源, IPv_Type: ipv6, Date: None, Delay: 0 ms, Speed: inf M/s, Resolution: 1920x1080
Name: CCTV-3HD, URL: http://120.76.248.139/live/bfgd/4200000062.m3u8$订阅源, IPv_Type: ipv4, Date: None, Delay: 6618 ms, Speed: 0.89 M/s, Resolution: 1920x1080
Name: CCTV-3HD, URL: http://iptv.huuc.edu.cn/hls/cctv3hd.m3u8$订阅源, IPv_Type: ipv6, Date: None, Delay: 0 ms, Speed: inf M/s, Resolution: 1920x1080
Name: CCTV-4HD, URL: http://221.226.4.10:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, IPv_Type: ipv4, Date: None, Delay: 7554 ms, Speed: 0.83 M/s, Resolution: 1920x1080
Name: CCTV-4HD, URL: http://120.76.248.139/live/bfgd/4200000063.m3u8$订阅源, IPv_Type: ipv4, Date: None, Delay: 6618 ms, Speed: 0.89 M/s, Resolution: 1920x1080
Name: CCTV-4HD, URL: http://php.jdshipin.com/TVOD/hljyd.php?id=3221226428$订阅源, IPv_Type: ipv6, Date: None, Delay: 0 ms, Speed: inf M/s, Resolution: 1920x1080
Name: CCTV-4HD, URL: http://iptv.huuc.edu.cn/hls/cctv4hd.m3u8$订阅源, IPv_Type: ipv6, Date: None, Delay: 0 ms, Speed: inf M/s, Resolution: 1920x1080
Name: CCTV-5HD, URL: http://120.76.248.139/live/bfgd/4200000064.m3u8$订阅源, IPv_Type: ipv4, Date: None, Delay: 6618 ms, Speed: 0.89 M/s, Resolution: 1920x1080
Name: CCTV-5HD, URL: http://iptv.huuc.edu.cn/hls/cctv5hd.m3u8$订阅源, IPv_Type: ipv6, Date: None, Delay: 0 ms, Speed: inf M/s, Resolution: 1920x1080
Name: CCTV-5+HD, URL: http://221.226.4.10:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, IPv_Type: ipv4, Date: None, Delay: 7554 ms, Speed: 0.83 M/s, Resolution: 1920x1080
Name: CCTV-5+HD, URL: http://120.76.248.139/live/bfgd/4200000246.m3u8$订阅源, IPv_Type: ipv4, Date: None, Delay: 6618 ms, Speed: 0.89 M/s, Resolution: 1920x1080
Name: CCTV-6HD, URL: http://120.76.248.139/live/bfgd/4200000065.m3u8$订阅源, IPv_Type: ipv4, Date: None, Delay: 6618 ms, Speed: 0.89 M/s, Resolution: 1920x1080
Name: CCTV-6HD, URL: http://iptv.huuc.edu.cn/hls/cctv6hd.m3u8$订阅源, IPv_Type: ipv6, Date: None, Delay: 0 ms, Speed: inf M/s, Resolution: 1920x1080
Name: CCTV-7HD, URL: http://221.226.4.10:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, IPv_Type: ipv4, Date: None, Delay: 7554 ms, Speed: 0.83 M/s, Resolution: 1920x1080
Name: CCTV-7HD, URL: http://120.76.248.139/live/bfgd/4200000127.m3u8$订阅源, IPv_Type: ipv4, Date: None, Delay: 6618 ms, Speed: 0.89 M/s, Resolution: 1920x1080
Name: CCTV-7HD, URL: http://iptv.huuc.edu.cn/hls/cctv7hd.m3u8$订阅源, IPv_Type: ipv6, Date: None, Delay: 0 ms, Speed: inf M/s, Resolution: 1920x1080
Name: CCTV-8HD, URL: http://221.226.4.10:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, IPv_Type: ipv4, Date: None, Delay: 7554 ms, Speed: 0.83 M/s, Resolution: 1920x1080
Name: CCTV-8HD, URL: http://120.76.248.139/live/bfgd/4200000066.m3u8$订阅源, IPv_Type: ipv4, Date: None, Delay: 6618 ms, Speed: 0.89 M/s, Resolution: 1920x1080
Name: CCTV-8HD, URL: http://iptv.huuc.edu.cn/hls/cctv8hd.m3u8$订阅源, IPv_Type: ipv6, Date: None, Delay: 0 ms, Speed: inf M/s, Resolution: 1920x1080
Name: CCTV-9HD, URL: http://221.226.4.10:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, IPv_Type: ipv4, Date: None, Delay: 7554 ms, Speed: 0.83 M/s, Resolution: 1920x1080
Name: CCTV-9HD, URL: http://120.76.248.139/live/bfgd/4200000128.m3u8$订阅源, IPv_Type: ipv4, Date: None, Delay: 6618 ms, Speed: 0.89 M/s, Resolution: 1920x1080
Name: CCTV-9HD, URL: http://iptv.huuc.edu.cn/hls/cctv9hd.m3u8$订阅源, IPv_Type: ipv6, Date: None, Delay: 0 ms, Speed: inf M/s, Resolution: 1920x1080
Name: CCTV-10HD, URL: http://221.226.4.10:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, IPv_Type: ipv4, Date: None, Delay: 7554 ms, Speed: 0.83 M/s, Resolution: 1920x1080
Name: CCTV-10HD, URL: http://120.76.248.139/live/bfgd/4200000129.m3u8$订阅源, IPv_Type: ipv4, Date: None, Delay: 6618 ms, Speed: 0.89 M/s, Resolution: 1920x1080
Name: CCTV-10HD, URL: http://iptv.huuc.edu.cn/hls/cctv10hd.m3u8$订阅源, IPv_Type: ipv6, Date: None, Delay: 0 ms, Speed: inf M/s, Resolution: 1920x1080
Name: CCTV-11HD, URL: http://120.76.248.139/live/bfgd/4200000130.m3u8$订阅源, IPv_Type: ipv4, Date: None, Delay: 6618 ms, Speed: 0.89 M/s, Resolution: 1920x1080
Name: CCTV-11HD, URL: http://iptv.huuc.edu.cn/hls/cctv11hd.m3u8$订阅源, IPv_Type: ipv6, Date: None, Delay: 0 ms, Speed: inf M/s, Resolution: 1920x1080
